,ID,Date,Region,City,Category,Product,Qty,UnitPrice,TotalPrice
,ID07351,1-ene,East,Boston,Bars,Carrot,33,1.77,58.41
,ID07352,4-ene,East,Boston,Crackers,Whole Wheat,87,3.49,303.63
,ID07353,7-ene,West,Los Angeles,Cookies,Chocolate Chip,58,1.87,108.46
,ID07354,10-ene,East,New York,Cookies,Chocolate Chip,82,1.87,153.34
,ID07355,13-ene,East,Boston,Cookies,Arrowroot,38,2.18,82.84
,ID07356,16-ene,East,Boston,Bars,Carrot,54,1.77,95.58
,ID07357,19-ene,East,Boston,Crackers,Whole Wheat,149,3.49,520.01
,ID07358,22-ene,West,Los Angeles,Bars,Carrot,51,1.77,90.27
,ID07359,25-ene,East,New York,Bars,Carrot,100,1.77,177
,ID07360,28-ene,East,New York,Snacks,Potato Chips,28,1.35,37.8
,ID07361,31-ene,East,Boston,Cookies,Arrowroot,36,2.18,78.48
,ID07362,3-feb,East,Boston,Cookies,Chocolate Chip,31,1.87,57.97
,ID07363,6-feb,East,Boston,Crackers,Whole Wheat,28,3.49,97.72
,ID07364,9-feb,West,Los Angeles,Bars,Carrot,44,1.77,77.88
,ID07365,12-feb,East,New York,Bars,Carrot,23,1.77,40.71
,ID07366,15-feb,East,New York,Snacks,Potato Chips,27,1.35,36.45
,ID07367,18-feb,East,Boston,Cookies,Arrowroot,43,2.18,93.74
,ID07368,21-feb,East,Boston,Cookies,Oatmeal Raisin,123,2.84,349.32
,ID07369,24-feb,West,Los Angeles,Bars,Bran,42,1.87,78.54
,ID07370,27-feb,West,Los Angeles,Cookies,Oatmeal Raisin,33,2.84,93.72
,ID07371,2-mar,East,New York,Cookies,Chocolate Chip,85,1.87,158.95
,ID07372,5-mar,West,San Diego,Cookies,Oatmeal Raisin,30,2.84,85.2
,ID07373,8-mar,East,Boston,Bars,Carrot,61,1.77,107.97
,ID07374,11-mar,East,Boston,Crackers,Whole Wheat,40,3.49,139.6
,ID07375,14-mar,West,Los Angeles,Cookies,Chocolate Chip,86,1.87,160.82
,ID07376,17-mar,East,New York,Bars,Carrot,38,1.77,67.26
,ID07377,20-mar,East,New York,Snacks,Potato Chips,68,1.68,114.24
,ID07378,23-mar,West,San Diego,Cookies,Chocolate Chip,39,1.87,72.93
,ID07379,26-mar,East,Boston,Bars,Bran,103,1.87,192.61
,ID07380,29-mar,East,Boston,Cookies,Oatmeal Raisin,193,2.84,548.12
,ID07381,1-abr,West,Los Angeles,Bars,Carrot,58,1.77,102.66
,ID07382,4-abr,West,Los Angeles,Snacks,Potato Chips,68,1.68,114.24
,ID07383,7-abr,East,New York,Bars,Carrot,91,1.77,161.07
,ID07384,10-abr,East,New York,Crackers,Whole Wheat,23,3.49,80.27
,ID07385,13-abr,West,San Diego,Snacks,Potato Chips,28,1.68,47.04
,ID07386,16-abr,East,Boston,Bars,Carrot,48,1.77,84.96
,ID07387,19-abr,East,Boston,Snacks,Potato Chips,134,1.68,225.12
,ID07388,22-abr,West,Los Angeles,Bars,Carrot,20,1.77,35.4
,ID07389,25-abr,East,New York,Bars,Carrot,53,1.77,93.81
,ID07390,28-abr,East,New York,Snacks,Potato Chips,64,1.68,107.52
,ID07391,1-may,West,San Diego,Cookies,Chocolate Chip,63,1.87,117.81
,ID07392,4-may,East,Boston,Bars,Bran,105,1.87,196.35
,ID07393,7-may,East,Boston,Cookies,Oatmeal Raisin,138,2.84,391.92
,ID07394,10-may,West,Los Angeles,Bars,Carrot,25,1.77,44.25
,ID07395,13-may,West,Los Angeles,Crackers,Whole Wheat,21,3.49,73.29
,ID07396,16-may,East,New York,Bars,Carrot,61,1.77,107.97
,ID07397,19-may,East,New York,Snacks,Potato Chips,49,1.68,82.32
,ID07398,22-may,West,San Diego,Cookies,Chocolate Chip,55,1.87,102.85
,ID07399,25-may,East,Boston,Cookies,Arrowroot,27,2.18,58.86
